epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.67,1.42824,3.00132,1.45406,0.38195,0.56907,0.38326,0.26264,1.10409,2.24184,1.16806,0.000366308,0.000366308,0.000366308
2,281.096,1.37115,2.13934,1.38682,0.30781,0.59383,0.37066,0.23585,1.11243,2.27408,1.17224,0.000722056,0.000722056,0.000722056
3,403.752,1.39111,1.98602,1.38637,0.4688,0.59792,0.55953,0.37695,1.15328,2.4038,1.198,0.00106314,0.00106314,0.00106314
4,527.499,1.36687,1.86959,1.37771,0.52642,0.66508,0.59204,0.4159,1.10291,1.90933,1.19301,0.00104501,0.00104501,0.00104501
5,650.795,1.35012,1.7873,1.37458,0.56625,0.57873,0.64404,0.44683,1.08834,2.01371,1.18775,0.00102301,0.00102301,0.00102301
6,776.063,1.29015,1.69388,1.32673,0.62624,0.68779,0.67133,0.46649,1.08652,1.81793,1.20554,0.00100101,0.00100101,0.00100101
7,899.631,1.2583,1.58824,1.30493,0.68476,0.71306,0.77426,0.55486,0.94794,1.22826,1.1055,0.000979013,0.000979013,0.000979013
8,1022.73,1.24211,1.53057,1.28676,0.67402,0.80256,0.78867,0.54854,1.07771,1.3117,1.16982,0.000957015,0.000957015,0.000957015
9,1146.08,1.23298,1.51593,1.28927,0.78308,0.72044,0.79637,0.59795,1.00358,1.2659,1.12417,0.000935018,0.000935018,0.000935018
10,1267.95,1.21905,1.45739,1.28135,0.64594,0.65225,0.66555,0.47922,1.00722,1.54221,1.15944,0.00091302,0.00091302,0.00091302
11,1390.37,1.19637,1.42155,1.26313,0.6938,0.75981,0.79494,0.59179,0.95031,1.1425,1.09898,0.000891022,0.000891022,0.000891022
12,1512.66,1.18504,1.37059,1.26195,0.71112,0.68115,0.78169,0.57122,1.00505,1.23843,1.14246,0.000869024,0.000869024,0.000869024
13,1634.62,1.19969,1.35275,1.26363,0.6855,0.74205,0.76449,0.56471,0.98153,1.33839,1.10603,0.000847026,0.000847026,0.000847026
14,1762.21,1.15206,1.34655,1.23443,0.79239,0.76915,0.82522,0.63683,0.92996,1.0545,1.10482,0.000825029,0.000825029,0.000825029
15,1883.55,1.1535,1.29119,1.24654,0.70556,0.79361,0.79065,0.58981,0.94576,1.09807,1.11491,0.000803031,0.000803031,0.000803031
16,2004.55,1.14374,1.26746,1.23221,0.66164,0.78038,0.81054,0.59517,0.93241,1.04714,1.08848,0.000781033,0.000781033,0.000781033
17,2125.75,1.12432,1.24484,1.22578,0.76305,0.71137,0.78176,0.59942,0.92263,1.13504,1.07546,0.000759035,0.000759035,0.000759035
18,2247.11,1.09966,1.21707,1.21397,0.79955,0.71659,0.82992,0.6333,0.9291,1.03142,1.08445,0.000737037,0.000737037,0.000737037
19,2394.85,1.11385,1.22163,1.2116,0.75005,0.68694,0.74759,0.58199,0.90527,1.4575,1.10004,0.00071504,0.00071504,0.00071504
20,2518,1.07703,1.19283,1.2035,0.76319,0.75474,0.78884,0.59565,0.93427,1.11082,1.10623,0.000693042,0.000693042,0.000693042
21,2641.75,1.08799,1.14932,1.20923,0.73858,0.73229,0.80048,0.61285,0.88357,1.005,1.06504,0.000671044,0.000671044,0.000671044
22,2765.23,1.07499,1.11808,1.20063,0.72609,0.71952,0.78956,0.56425,0.98194,1.21943,1.12963,0.000649046,0.000649046,0.000649046
23,2889.94,1.07995,1.11188,1.19594,0.74908,0.80666,0.81862,0.63607,0.87616,0.93779,1.05229,0.000627048,0.000627048,0.000627048
24,3014.23,1.06355,1.08438,1.18831,0.77306,0.7852,0.84543,0.66155,0.89029,0.87694,1.05084,0.000605051,0.000605051,0.000605051
25,3134.96,1.04431,1.07101,1.1861,0.72865,0.74358,0.82238,0.64809,0.85796,0.99923,1.02531,0.000583053,0.000583053,0.000583053
26,3256.27,1.03936,1.06165,1.17284,0.7387,0.77885,0.82164,0.63198,0.9054,0.9896,1.06613,0.000561055,0.000561055,0.000561055
27,3377.39,1.02434,1.02813,1.1608,0.76513,0.79234,0.83611,0.65799,0.86088,0.90581,1.02483,0.000539057,0.000539057,0.000539057
28,3499.98,1.03561,1.01765,1.17497,0.65761,0.77944,0.80275,0.64062,0.85719,0.95443,1.03013,0.000517059,0.000517059,0.000517059
29,3622.32,0.99901,1.003,1.16508,0.83177,0.73253,0.84396,0.6747,0.83354,0.9111,1.0175,0.000495062,0.000495062,0.000495062
30,3744.94,0.98784,0.95899,1.14954,0.82789,0.67896,0.82779,0.66114,0.82451,0.99637,1.02058,0.000473064,0.000473064,0.000473064
31,3867.43,1.00616,0.97158,1.15764,0.77208,0.81359,0.83083,0.65244,0.83868,0.951,1.02277,0.000451066,0.000451066,0.000451066
32,3989.62,0.99002,0.96521,1.15106,0.82536,0.77778,0.85902,0.66999,0.84576,0.89117,1.03794,0.000429068,0.000429068,0.000429068
33,4111.61,0.98226,0.94821,1.15217,0.80087,0.75659,0.8418,0.65974,0.85575,0.87288,1.04963,0.00040707,0.00040707,0.00040707
34,4231.64,0.97513,0.93613,1.14139,0.73753,0.82661,0.83805,0.6581,0.84952,0.8969,1.04688,0.000385073,0.000385073,0.000385073
35,4351.67,0.97109,0.91011,1.13873,0.76209,0.83474,0.85648,0.68162,0.82169,0.78495,1.02132,0.000363075,0.000363075,0.000363075
36,4471.89,0.96279,0.88478,1.13724,0.81824,0.78842,0.87683,0.69237,0.84232,0.71869,1.02903,0.000341077,0.000341077,0.000341077
37,4592.85,0.97088,0.89934,1.13737,0.78932,0.83347,0.87935,0.69333,0.84143,0.76043,1.03797,0.000319079,0.000319079,0.000319079
38,4715.58,0.95272,0.85688,1.12857,0.80943,0.82614,0.86903,0.69714,0.80499,0.7647,1.01827,0.000297081,0.000297081,0.000297081
39,4838.18,0.94742,0.85905,1.12673,0.83554,0.80022,0.87734,0.69284,0.81452,0.72943,1.02949,0.000275084,0.000275084,0.000275084
40,4960.36,0.92936,0.85599,1.12284,0.81812,0.80056,0.86536,0.69315,0.80859,0.76714,1.02037,0.000253086,0.000253086,0.000253086
41,5081.8,0.76455,0.68887,1.00087,0.89479,0.71515,0.86263,0.68488,0.81587,0.8844,1.02552,0.000231088,0.000231088,0.000231088
42,5202.67,0.75166,0.62266,1.00307,0.77399,0.83396,0.86326,0.69203,0.82958,0.76671,1.02503,0.00020909,0.00020909,0.00020909
43,5322.56,0.73911,0.60976,0.98776,0.76334,0.78814,0.85363,0.67724,0.81111,0.77897,1.02448,0.000187092,0.000187092,0.000187092
44,5441.3,0.72487,0.57425,0.98633,0.82319,0.84,0.87672,0.69535,0.82828,0.7565,1.04019,0.000165095,0.000165095,0.000165095
45,5560.07,0.70762,0.55542,0.97651,0.76457,0.84907,0.87851,0.69419,0.81997,0.73786,1.02966,0.000143097,0.000143097,0.000143097
46,5680.21,0.70293,0.55618,0.97117,0.76741,0.82244,0.86336,0.68994,0.81714,0.77549,1.01208,0.000121099,0.000121099,0.000121099
47,5801.58,0.70237,0.55114,0.96908,0.78636,0.7982,0.85966,0.68392,0.82333,0.7906,1.03401,9.91012e-05,9.91012e-05,9.91012e-05
48,5923.39,0.6976,0.5395,0.96641,0.82174,0.80947,0.86842,0.69563,0.80729,0.74555,1.02303,7.71034e-05,7.71034e-05,7.71034e-05
49,6044.9,0.67799,0.51117,0.9639,0.84343,0.74754,0.86932,0.69205,0.8122,0.75735,1.02593,5.51056e-05,5.51056e-05,5.51056e-05
50,6166.47,0.67404,0.5158,0.95829,0.83171,0.76422,0.86594,0.69476,0.80626,0.75605,1.02369,3.31078e-05,3.31078e-05,3.31078e-05
